entry_time,greedy,llm_used,hint,capture_folders,total_pictures_taken,inspection_duration_sec,goal_1_phase_1_duration_sec,goal_1_phase_2_duration_sec,goal_1_phase_3_duration_sec,goal_1_phase_4_duration_sec,goal_1_phase_5_duration_sec,goal_1_phase_6_duration_sec,goal_1_phase_7_duration_sec,goal_1_pictures_taken,goal_2_phase_1_duration_sec,goal_2_phase_2_duration_sec,goal_2_phase_3_duration_sec,goal_2_phase_4_duration_sec,goal_2_phase_5_duration_sec,goal_2_phase_6_duration_sec,goal_2_phase_7_duration_sec,goal_2_pictures_taken,goal_1_agent_metrics,goal_2_agent_metrics,goal_1_langsmith_tokens,goal_1_langsmith_cost,goal_2_langsmith_tokens,goal_2_langsmith_cost,_source_row,goal_1_completed,goal_2_completed,completion_score,selection_rule
2026-05-14T01:33:00.189827+00:00,Yes,greedy,,run_20260514012616;run_20260514013120,12,608.625,14.89,13.834,68.932,6.126,44.963,26.95,36.92,6,26.856,1.28,71.384,5.747,45.007,24.418,37.024,6,"{""agent_turns"": 0, ""duration_sec"": 36.876, ""end_time"": 1778722013.1898918, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 6, ""start_time"": 1778721976.3143818, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 6, ""validation_turns"": 0}","{""agent_turns"": 0, ""duration_sec"": 36.974, ""end_time"": 1778722317.2554507, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 6, ""start_time"": 1778722280.281218, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 6, ""validation_turns"": 0}",0,0.0,0,0.0,1,1,1,2,"group by greedy + llm_used + hint; rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-16T04:29:35.114463+00:00,No,code-gemini-2.5-flash-lite,easy,run_20260516042339;run_20260516042705,11,565.193,18.903,14.895,67.079,10.116,45.128,24.67,42.8,6,25.284,5.383,23.982,1.325,45.435,30.997,148.662,5,"{""agent_turns"": 1, ""duration_sec"": 42.751, ""end_time"": 1778905462.523975, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemini-2.5-flash-lite_20260516_042341_264026"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 6, ""start_time"": 1778905419.7729728, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 6, ""used_model"": ""gemini-2.5-flash-lite"", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": null, ""end_time"": null, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 5, ""start_time"": 1778905625.1671512, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 7, ""validation_turns"": 0}",1151,0.0003083,1233,0.0003411,latest_upload_row_7,1,0,1,"manual replacement by llm_used + hint from latest uploaded rows; prior rule was group by greedy + llm_used + hint, rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-16T04:45:08.090466+00:00,No,code-gemini-2.5-flash-lite,medium,run_20260516043401;run_20260516044456,52,886.276,16.551,9.999,67.982,15.139,47.371,33.249,251.341,50,165.956,13.679,71.287,40.997,50.198,31.825,10.225,2,"{""agent_turns"": 1, ""duration_sec"": 251.261, ""end_time"": 1778906292.4279916, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemini-2.5-flash-lite_20260516_043402_651272"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 50, ""start_time"": 1778906041.1666875, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 50, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 10.176, ""end_time"": 1778906706.7683651, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemini-2.5-flash-lite_20260516_044456_692381"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 2, ""start_time"": 1778906696.5927262, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 2, ""used_model"": ""gemini-2.5-flash-lite"", ""validation_turns"": 0}",1113,0.0003363,734,0.0001847,latest_upload_row_8,0,1,1,"manual replacement by llm_used + hint from latest uploaded rows; prior rule was group by greedy + llm_used + hint, rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-16T04:58:19.583879+00:00,No,code-gemini-2.5-flash-lite,hard,run_20260516044940;run_20260516045239,38,744.953,23.312,14.392,71.901,15.031,45.619,26.94,6.713,0,28.217,7.359,23.802,5.419,46.54,26.716,333.945,38,"{""agent_turns"": 1, ""duration_sec"": 6.655, ""end_time"": 1778906987.547101, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""langsmith_thread_id"": ""code_agent_gemini-2.5-flash-lite_20260516_044942_373622"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778906980.8920183, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": null, ""end_time"": null, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 38, ""start_time"": 1778907159.9703894, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 40, ""validation_turns"": 0}",1754,0.0006008,4778,0.0018104,latest_upload_row_9,0,0,0,"manual replacement by llm_used + hint from latest uploaded rows; prior rule was group by greedy + llm_used + hint, rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-16T05:09:56.420288+00:00,No,code-gemini-2.5-pro,easy,run_20260516050254;run_20260516050748,12,649.73,15.717,40.04,67.312,9.79,44.554,21.43,87.543,6,32.651,15.562,23.854,14.021,45.424,44.079,126.639,6,"{""agent_turns"": 1, ""duration_sec"": 87.492, ""end_time"": 1778907862.083179, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemini-2.5-pro_20260516_050256_077971"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 6, ""start_time"": 1778907774.591372, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 6, ""used_model"": ""gemini-2.5-pro"", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 126.584, ""end_time"": 1778908194.8235862, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemini-2.5-pro_20260516_050748_335057"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 6, ""start_time"": 1778908068.2392247, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 6, ""used_model"": ""gemini-2.5-pro"", ""validation_turns"": 0}",6067,0.05623375,11503,0.11059375,latest_upload_row_10,1,1,2,"manual replacement by llm_used + hint from latest uploaded rows; prior rule was group by greedy + llm_used + hint, rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-16T05:22:02.148494+00:00,No,code-gemini-2.5-pro,medium,run_20260516051432;run_20260516051958,12,679.476,17.421,15.286,71.324,16.971,44.949,34.7,100.009,6,25.099,24.018,71.377,1.367,45.694,28.191,122.117,6,"{""agent_turns"": 1, ""duration_sec"": 99.955, ""end_time"": 1778908572.343343, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemini-2.5-pro_20260516_051433_980385"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 6, ""start_time"": 1778908472.3882885, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 6, ""used_model"": ""gemini-2.5-pro"", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 122.072, ""end_time"": 1778908920.6287305, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemini-2.5-pro_20260516_051958_650252"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 6, ""start_time"": 1778908798.5571933, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 6, ""used_model"": ""gemini-2.5-pro"", ""validation_turns"": 0}",7773,0.07455375,10824,0.10506375,latest_upload_row_11,1,1,2,"manual replacement by llm_used + hint from latest uploaded rows; prior rule was group by greedy + llm_used + hint, rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-16T05:33:33.132276+00:00,No,code-gemini-2.5-pro,hard,run_20260516052617;run_20260516053138,12,653.763,15.552,22.457,71.065,6.258,45.189,28.722,101.607,6,23.61,6.751,70.917,5.941,45.845,36.206,112.888,6,"{""agent_turns"": 1, ""duration_sec"": 101.553, ""end_time"": 1778909279.2249124, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""langsmith_thread_id"": ""code_agent_gemini-2.5-pro_20260516_052619_143302"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 6, ""start_time"": 1778909177.67204, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 6, ""used_model"": ""gemini-2.5-pro"", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 112.836, ""end_time"": 1778909611.6547189, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""langsmith_thread_id"": ""code_agent_gemini-2.5-pro_20260516_053138_910914"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 6, ""start_time"": 1778909498.8190753, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 6, ""used_model"": ""gemini-2.5-pro"", ""validation_turns"": 0}",8370,0.08076,9690,0.09396,latest_upload_row_12,1,1,2,"manual replacement by llm_used + hint from latest uploaded rows; prior rule was group by greedy + llm_used + hint, rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-16T03:11:15.430495+00:00,No,code-gemma-4-26b-a4b-it,easy,run_20260516030153;run_20260516030833,0,784.308,16.105,26.716,72.224,9.811,45.425,23.009,217.876,0,30.059,10.019,24.095,10.567,45.545,27.634,156.254,0,"{""agent_turns"": 1, ""duration_sec"": 217.808, ""end_time"": 1778900731.2814581, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260516_030155_100997"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778900513.4732182, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 156.198, ""end_time"": 1778901070.1104922, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260516_030834_002043"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778900913.9129636, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",10768,0.0,7994,0.0,latest_upload_row_1,0,0,0,"manual replacement by llm_used + hint from latest uploaded rows; prior rule was group by greedy + llm_used + hint, rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-16T03:26:19.343191+00:00,No,code-gemma-4-26b-a4b-it,medium,run_20260516031547;run_20260516032214,0,865.846,21.519,21.072,73.356,7.287,44.143,37.338,224.991,0,32.332,1.324,23.875,1.336,45.378,23.684,243.446,0,"{""agent_turns"": 1, ""duration_sec"": 224.926, ""end_time"": 1778901572.2033267, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260516_031548_878802"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778901347.2769446, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 243.398, ""end_time"": 1778901977.7157953, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260516_032214_415791"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778901734.3173497, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",11007,0.0,11655,0.0,latest_upload_row_2,0,0,0,"manual replacement by llm_used + hint from latest uploaded rows; prior rule was group by greedy + llm_used + hint, rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-16T03:42:14.063183+00:00,No,code-gemma-4-26b-a4b-it,hard,run_20260516033119;run_20260516033838,0,908.659,40.462,22.892,74.549,17.057,48.126,22.373,218.698,0,27.77,1.352,72.34,1.313,46.791,35.458,210.326,0,"{""agent_turns"": 1, ""duration_sec"": 218.64, ""end_time"": 1778902498.5706549, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260516_033121_401709"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778902279.9305232, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 210.255, ""end_time"": 1778902928.7167885, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260516_033838_563289"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778902718.4613552, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",10602,0.0,10119,0.0,latest_upload_row_3,0,0,0,"manual replacement by llm_used + hint from latest uploaded rows; prior rule was group by greedy + llm_used + hint, rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-16T03:55:41.482427+00:00,No,code-gemma-4-31b-it,easy,run_20260516034709;run_20260516035256,0,760.684,17.576,22.167,69.34,25.227,45.707,39.575,178.565,0,25.835,1.359,23.792,13.714,45.578,23.338,159.988,0,"{""agent_turns"": 1, ""duration_sec"": 178.494, ""end_time"": 1778903407.9480352, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemma-4-31b-it_20260516_034710_922134"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778903229.4541316, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 159.92, ""end_time"": 1778903736.6261392, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemma-4-31b-it_20260516_035256_799657"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778903576.7064435, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",6650,0.0,5554,0.0,latest_upload_row_4,0,0,0,"manual replacement by llm_used + hint from latest uploaded rows; prior rule was group by greedy + llm_used + hint, rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-16T04:07:43.420289+00:00,No,code-gemma-4-31b-it,medium,run_20260516040016;run_20260516040500,0,676.096,17.006,35.555,73.325,5.687,44.526,24.447,120.311,0,24.589,10.791,23.795,1.419,45.423,22.923,158.391,0,"{""agent_turns"": 1, ""duration_sec"": 120.255, ""end_time"": 1778904137.1874335, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemma-4-31b-it_20260516_040018_454296"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778904016.932419, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 158.315, ""end_time"": 1778904458.3745363, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemma-4-31b-it_20260516_040500_147138"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778904300.059818, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",4220,0.0,5897,0.0,latest_upload_row_5,0,0,0,"manual replacement by llm_used + hint from latest uploaded rows; prior rule was group by greedy + llm_used + hint, rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-16T04:19:23.659085+00:00,No,code-gemma-4-31b-it,hard,run_20260516041243;run_20260516041729,0,653.473,28.756,18.639,68.756,22.766,45.329,40.029,125.316,0,28.033,1.394,23.825,1.375,45.292,26.426,108.851,0,"{""agent_turns"": 1, ""duration_sec"": 125.264, ""end_time"": 1778904888.789614, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""langsmith_thread_id"": ""code_agent_gemma-4-31b-it_20260516_041244_991061"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778904763.525425, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 108.805, ""end_time"": 1778905158.1463747, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""langsmith_thread_id"": ""code_agent_gemma-4-31b-it_20260516_041729_437948"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778905049.3411999, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",4618,0.0,4033,0.0,latest_upload_row_6,0,0,0,"manual replacement by llm_used + hint from latest uploaded rows; prior rule was group by greedy + llm_used + hint, rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-14T16:27:30.823123+00:00,No,gemini-2.5-flash-lite,easy,run_20260514162122;run_20260514162636,16,590.876,17.734,22.614,69.338,13.342,45.756,24.71,76.525,10,32.591,17.757,71.513,5.286,45.825,34.136,52.119,6,"{""agent_turns"": 16, ""duration_sec"": 75.008, ""end_time"": 1778775758.9867017, ""graph_loops"": 16, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 5, ""pictures_taken"": 10, ""start_time"": 1778775683.9788692, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 10, ""tool_calls_with_args"": 0, ""tools_transitions"": 15, ""validation_turns"": 16}","{""agent_turns"": 16, ""duration_sec"": 51.957, ""end_time"": 1778776048.8936288, ""graph_loops"": 16, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""mentioned_tool_but_not_called"": 5, ""missions_completed"": 1, ""no_tool_calls_made"": 3, ""pictures_taken"": 6, ""start_time"": 1778775996.9368372, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 6, ""tool_calls_with_args"": 0, ""tools_transitions"": 15, ""validation_turns"": 16}",19537,0.00192736,18990,0.00191838,20,1,1,2,"group by greedy + llm_used + hint; rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-14T16:38:34.218034+00:00,No,gemini-2.5-flash-lite,medium,run_20260514163129;run_20260514163618,14,625.441,16.895,14.217,66.567,5.33,45.147,23.146,59.142,6,43.326,24.36,23.873,17.977,45.601,44.404,133.946,8,"{""agent_turns"": 18, ""duration_sec"": 57.669, ""end_time"": 1778776348.2303233, ""graph_loops"": 18, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 11, ""pictures_taken"": 6, ""start_time"": 1778776290.5616064, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 6, ""tool_calls_with_args"": 0, ""tools_transitions"": 17, ""validation_turns"": 18}","{""agent_turns"": 12, ""duration_sec"": 133.803, ""end_time"": 1778776712.6650112, ""graph_loops"": 12, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 3, ""pictures_taken"": 8, ""start_time"": 1778776578.8616195, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 8, ""tool_calls_with_args"": 0, ""tools_transitions"": 11, ""validation_turns"": 12}",18077,0.0018779,12200,0.0013112,21,1,1,2,"group by greedy + llm_used + hint; rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
2026-05-14T16:49:11.029268+00:00,No,gemini-2.5-flash-lite,hard,run_20260514164303;run_20260514164820,22,590.554,18.539,10.143,69.876,19.495,48.934,27.468,103.048,16,32.046,45.043,24.303,5.678,47.015,28.458,48.272,6,"{""agent_turns"": 20, ""duration_sec"": 101.445, ""end_time"": 1778777086.9870281, ""graph_loops"": 20, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 3, ""pictures_taken"": 16, ""start_time"": 1778776985.5420775, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 16, ""tool_calls_with_args"": 0, ""tools_transitions"": 19, ""validation_turns"": 20}","{""agent_turns"": 10, ""duration_sec"": 48.04, ""end_time"": 1778777349.067959, ""graph_loops"": 10, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 3, ""pictures_taken"": 6, ""start_time"": 1778777301.0277376, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 6, ""tool_calls_with_args"": 0, ""tools_transitions"": 9, ""validation_turns"": 10}",25777,0.00199531,9216,0.0009912,22,1,1,2,"group by greedy + llm_used + hint; rank by completion_score desc, total_pictures_taken asc, inspection_duration_sec asc"
